"ToiletID","URL","Name","Address1","Town","State","Postcode","AddressNote","Male","Female","Unisex","FacilityType","ToiletType","AccessLimited","PaymentRequired","KeyRequired","AccessNote","Parking","ParkingNote","AccessibleMale","AccessibleFemale","AccessibleUnisex","AccessibleNote","MLAK","ParkingAccessible","AccessibleParkingNote","IsOpen","OpeningHoursSchedule","OpeningHoursNote","BabyChange","Showers","DrinkingWater","SharpsDisposal","SanitaryDisposal","IconURL","IconAltText","Notes","Status","Latitude","Longitude"
"78","https://toiletmap.gov.au/toilet/78","Stirk Park","Cnr Kalamunda & Headingly Roads","Kalamunda","Western Australia","6076","Located in the middle of large grassy park area - access is easier from Elizabeth Street accross small pedestrian bridge and up the hill","True","True","False","Park or reserve","Septic","False","False","False","","True","","False","False","True","","False","True","","AllHours","May-Sep 6am-6pm; Oct-Apr 6am-9pm","","False","False","True","False","False","https://toiletmap.gov.au/images/icons/mfa.png","Male and Female, or Unisex (Accessible)","Large family park with BBQ facilities, playgrounds, sound shell and a swing for wheel chairs","Verified","-31.96945213","116.05503051"
"79","https://toiletmap.gov.au/toilet/79","SKAMP Hall","22 Falls Road","Lesmurdie","Western Australia","6076","Located behind the SKAMP Hall, in front of the Lesmurdie Scout Hall and beside the Lesmurdie Tennis Club","True","True","False","Sporting facility","Septic","False","False","False","","True","","False","False","False","","False","True","","AllHours","","","False","False","True","False","False","https://toiletmap.gov.au/images/icons/mf.png","Male and Female, or Unisex","","Verified","-31.99253538","116.04976400"
"80","https://toiletmap.gov.au/toilet/80","Town Hall Square","5 Barber Street","Kalamunda","Western Australia","6076","","True","True","False","Park or reserve","Septic","False","False","False","","True","","True","True","False","Wheelchair access only from Central Road Mall and through Town Square Park from Barber Street opposite the Post Office","False","True","","Variable","Oct-Apr 6am-9pm; May-Sep 6am-6pm","","False","False","True","True","False","https://toiletmap.gov.au/images/icons/mfa.png","Male and Female, or Unisex (Accessible)","","Verified","-31.97237555","116.05797167"
"82","https://toiletmap.gov.au/toilet/82","Riverside Road","Riverside Road","East Fremantle","Western Australia","6158","","True","True","False","","","False","False","False","","False","","False","False","False","","False","False","","DaylightHours","","","False","False","False","False","False","https://toiletmap.gov.au/images/icons/mf.png","Male and Female, or Unisex","","Verified","-32.02925052","115.76283930"
"85","https://toiletmap.gov.au/toilet/85","Town Hall","Canning Highway","East Fremantle","Western Australia","6158","","True","True","False","","","False","False","False","","False","","False","False","False","","False","False","","Variable","Mon-Fri 8:30am-5pm","","False","False","False","False","False","https://toiletmap.gov.au/images/icons/mf.png","Male and Female, or Unisex","","Verified","-32.04114943","115.76293890"
"86","https://toiletmap.gov.au/toilet/86","Town Beach","Friedman Way","Exmouth","Western Australia","6707","","True","True","False","Car park","Sewerage","False","False","False","","True","","False","False","False","","False","False","","AllHours","","","False","True","False","False","False","https://toiletmap.gov.au/images/icons/mf.png","Male and Female, or Unisex","","Verified","-21.94531060","114.13970150"
"89","https://toiletmap.gov.au/toilet/89","Visitors Centre","Murat Road","Exmouth","Western Australia","6707","","True","True","False","Other","Sewerage","False","False","True","","True","","False","False","True","","False","False","","DaylightHours","","Open during business hours","True","True","True","False","False","https://toiletmap.gov.au/images/icons/mfa.png","Male and Female, or Unisex (Accessible)","","Verified","-22.01908650","114.11179950"
"90","https://toiletmap.gov.au/toilet/90","Hunter Access","Yardie Creek Road","North West Cape","Western Australia","6707","Located opposite the Lighthouse","False","False","True","Car park","Sewerage","False","False","False","","True","","False","False","True","","False","True","","AllHours","","","False","False","False","False","False","https://toiletmap.gov.au/images/icons/mfa.png","Male and Female, or Unisex (Accessible)","","Verified","-21.81725104","114.08373380"
"91","https://toiletmap.gov.au/toilet/91","Dunes Beach","Mildura Wreck Road","North West Cape","Western Australia","6707","Located at the Dunes Surf Beach which runs off the Mildura Wreck Road","True","True","False","","","False","False","False","","True","","True","True","False","","False","True","","AllHours","","","False","False","False","False","False","https://toiletmap.gov.au/images/icons/mfa.png","Male and Female, or Unisex (Accessible)","","Verified","-21.80487250","114.10953450"
"92","https://toiletmap.gov.au/toilet/92","Tantabiddi Boat Ramp","Yardie Creek Road","North West Cape","Western Australia","6707","","False","False","True","Car park","Drop toilet","False","False","False","","True","","False","False","True","","False","False","","AllHours","","","False","False","False","False","False","https://toiletmap.gov.au/images/icons/mfa.png","Male and Female, or Unisex (Accessible)","","Verified","-21.91922000","113.97882620"
"93","https://toiletmap.gov.au/toilet/93","Frew Street","55 Frew Street","Thargomindah","Queensland","4492","Located at the truck parking area on the corner of Frew Street and the Bulloo Developmental Road","True","True","False","Other","Sewerage","False","False","False","","True","","False","False","False","","False","False","","AllHours","","","False","True","True","False","False","https://toiletmap.gov.au/images/icons/mf.png","Male and Female, or Unisex","","Verified","-27.99456434","143.82137868"
